Epoch 1/20
Found 30 images belonging to 1 classes.
Found 30 images belonging to 1 classes.
2019-08-04 08:27:47.913689: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2
2019-08-04 08:27:48.115552: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 1070 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 8.00GiB freeMemory: 6.61GiB
2019-08-04 08:27:48.115844: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2019-08-04 08:27:48.477559: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-08-04 08:27:48.477715: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2019-08-04 08:27:48.477806: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2019-08-04 08:27:48.478011: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 6366 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1070 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
2019-08-04 08:27:54.736672: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.32GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2019-08-04 08:27:55.509972: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.38GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.

150/300 [==============>...............] - ETA: 1:22 - loss: 0.0272 - acc: 0.9933
151/300 [==============>...............] - ETA: 1:21 - loss: 0.0271 - acc: 0.9933
152/300 [==============>...............] - ETA: 1:20 - loss: 0.0270 - acc: 0.9933
153/300 [==============>...............] - ETA: 1:20 - loss: 0.0269 - acc: 0.9933
154/300 [==============>...............] - ETA: 1:19 - loss: 0.0269 - acc: 0.9933
155/300 [==============>...............] - ETA: 1:19 - loss: 0.0268 - acc: 0.9933
156/300 [==============>...............] - ETA: 1:18 - loss: 0.0267 - acc: 0.9933
157/300 [==============>...............] - ETA: 1:17 - loss: 0.0266 - acc: 0.9933
158/300 [==============>...............] - ETA: 1:17 - loss: 0.0265 - acc: 0.9933
159/300 [==============>...............] - ETA: 1:16 - loss: 0.0264 - acc: 0.9933
160/300 [===============>..............] - ETA: 1:16 - loss: 0.0263 - acc: 0.9933
161/300 [===============>..............] - ETA: 1:15 - loss: 0.0262 - acc: 0.9933
162/300 [===============>..............] - ETA: 1:14 - loss: 0.0262 - acc: 0.9933
163/300 [===============>..............] - ETA: 1:14 - loss: 0.0261 - acc: 0.9933
164/300 [===============>..............] - ETA: 1:13 - loss: 0.0260 - acc: 0.9933
165/300 [===============>..............] - ETA: 1:13 - loss: 0.0259 - acc: 0.9933
166/300 [===============>..............] - ETA: 1:12 - loss: 0.0258 - acc: 0.9933
167/300 [===============>..............] - ETA: 1:11 - loss: 0.0257 - acc: 0.9933
168/300 [===============>..............] - ETA: 1:11 - loss: 0.0256 - acc: 0.9933
169/300 [===============>..............] - ETA: 1:10 - loss: 0.0255 - acc: 0.9934
170/300 [================>.............] - ETA: 1:10 - loss: 0.0254 - acc: 0.9934
171/300 [================>.............] - ETA: 1:09 - loss: 0.0254 - acc: 0.9934
172/300 [================>.............] - ETA: 1:09 - loss: 0.0253 - acc: 0.9934
173/300 [================>.............] - ETA: 1:08 - loss: 0.0252 - acc: 0.9934
174/300 [================>.............] - ETA: 1:07 - loss: 0.0252 - acc: 0.9934
175/300 [================>.............] - ETA: 1:07 - loss: 0.0251 - acc: 0.9935
176/300 [================>.............] - ETA: 1:06 - loss: 0.0250 - acc: 0.9935
177/300 [================>.............] - ETA: 1:06 - loss: 0.0249 - acc: 0.9935
178/300 [================>.............] - ETA: 1:05 - loss: 0.0248 - acc: 0.9935
179/300 [================>.............] - ETA: 1:05 - loss: 0.0247 - acc: 0.9935
180/300 [=================>............] - ETA: 1:04 - loss: 0.0247 - acc: 0.9936
181/300 [=================>............] - ETA: 1:03 - loss: 0.0246 - acc: 0.9936
182/300 [=================>............] - ETA: 1:03 - loss: 0.0245 - acc: 0.9936
183/300 [=================>............] - ETA: 1:02 - loss: 0.0244 - acc: 0.9936
184/300 [=================>............] - ETA: 1:02 - loss: 0.0244 - acc: 0.9936
185/300 [=================>............] - ETA: 1:01 - loss: 0.0243 - acc: 0.9936
186/300 [=================>............] - ETA: 1:01 - loss: 0.0242 - acc: 0.9937
187/300 [=================>............] - ETA: 1:00 - loss: 0.0241 - acc: 0.9937
188/300 [=================>............] - ETA: 59s - loss: 0.0241 - acc: 0.9937 
189/300 [=================>............] - ETA: 59s - loss: 0.0240 - acc: 0.9937
190/300 [==================>...........] - ETA: 58s - loss: 0.0240 - acc: 0.9937
191/300 [==================>...........] - ETA: 58s - loss: 0.0239 - acc: 0.9937
192/300 [==================>...........] - ETA: 57s - loss: 0.0238 - acc: 0.9937
193/300 [==================>...........] - ETA: 57s - loss: 0.0238 - acc: 0.9938
194/300 [==================>...........] - ETA: 56s - loss: 0.0237 - acc: 0.9938
195/300 [==================>...........] - ETA: 56s - loss: 0.0237 - acc: 0.9938
196/300 [==================>...........] - ETA: 55s - loss: 0.0236 - acc: 0.9938
197/300 [==================>...........] - ETA: 54s - loss: 0.0236 - acc: 0.9938
198/300 [==================>...........] - ETA: 54s - loss: 0.0235 - acc: 0.9938
199/300 [==================>...........] - ETA: 53s - loss: 0.0234 - acc: 0.9938
200/300 [===================>..........] - ETA: 53s - loss: 0.0233 - acc: 0.9938
201/300 [===================>..........] - ETA: 52s - loss: 0.0233 - acc: 0.9939
202/300 [===================>..........] - ETA: 52s - loss: 0.0232 - acc: 0.9939
203/300 [===================>..........] - ETA: 51s - loss: 0.0232 - acc: 0.9939
204/300 [===================>..........] - ETA: 51s - loss: 0.0231 - acc: 0.9939
205/300 [===================>..........] - ETA: 50s - loss: 0.0230 - acc: 0.9939
206/300 [===================>..........] - ETA: 49s - loss: 0.0230 - acc: 0.9939
207/300 [===================>..........] - ETA: 49s - loss: 0.0229 - acc: 0.9939
208/300 [===================>..........] - ETA: 48s - loss: 0.0229 - acc: 0.9939
209/300 [===================>..........] - ETA: 48s - loss: 0.0228 - acc: 0.9940
210/300 [====================>.........] - ETA: 47s - loss: 0.0228 - acc: 0.9940
211/300 [====================>.........] - ETA: 47s - loss: 0.0227 - acc: 0.9940
212/300 [====================>.........] - ETA: 46s - loss: 0.0227 - acc: 0.9940
213/300 [====================>.........] - ETA: 46s - loss: 0.0226 - acc: 0.9940
214/300 [====================>.........] - ETA: 45s - loss: 0.0225 - acc: 0.9940
215/300 [====================>.........] - ETA: 44s - loss: 0.0225 - acc: 0.9940
216/300 [====================>.........] - ETA: 44s - loss: 0.0224 - acc: 0.9941
217/300 [====================>.........] - ETA: 43s - loss: 0.0224 - acc: 0.9941
218/300 [====================>.........] - ETA: 43s - loss: 0.0223 - acc: 0.9941
219/300 [====================>.........] - ETA: 42s - loss: 0.0223 - acc: 0.9941
220/300 [=====================>........] - ETA: 42s - loss: 0.0222 - acc: 0.9941
221/300 [=====================>........] - ETA: 41s - loss: 0.0222 - acc: 0.9941
222/300 [=====================>........] - ETA: 41s - loss: 0.0221 - acc: 0.9941
223/300 [=====================>........] - ETA: 40s - loss: 0.0221 - acc: 0.9941
224/300 [=====================>........] - ETA: 40s - loss: 0.0220 - acc: 0.9941
225/300 [=====================>........] - ETA: 39s - loss: 0.0220 - acc: 0.9942
226/300 [=====================>........] - ETA: 39s - loss: 0.0219 - acc: 0.9942
227/300 [=====================>........] - ETA: 38s - loss: 0.0219 - acc: 0.9942
228/300 [=====================>........] - ETA: 37s - loss: 0.0218 - acc: 0.9942
229/300 [=====================>........] - ETA: 37s - loss: 0.0218 - acc: 0.9942
230/300 [======================>.......] - ETA: 36s - loss: 0.0218 - acc: 0.9942
231/300 [======================>.......] - ETA: 36s - loss: 0.0217 - acc: 0.9942
232/300 [======================>.......] - ETA: 35s - loss: 0.0217 - acc: 0.9942
233/300 [======================>.......] - ETA: 35s - loss: 0.0216 - acc: 0.9942
234/300 [======================>.......] - ETA: 34s - loss: 0.0216 - acc: 0.9943
235/300 [======================>.......] - ETA: 34s - loss: 0.0215 - acc: 0.9943
236/300 [======================>.......] - ETA: 33s - loss: 0.0215 - acc: 0.9943
237/300 [======================>.......] - ETA: 33s - loss: 0.0214 - acc: 0.9943
238/300 [======================>.......] - ETA: 32s - loss: 0.0214 - acc: 0.9943
239/300 [======================>.......] - ETA: 32s - loss: 0.0213 - acc: 0.9943
240/300 [=======================>......] - ETA: 31s - loss: 0.0213 - acc: 0.9943
241/300 [=======================>......] - ETA: 30s - loss: 0.0212 - acc: 0.9943
242/300 [=======================>......] - ETA: 30s - loss: 0.0212 - acc: 0.9943
243/300 [=======================>......] - ETA: 29s - loss: 0.0211 - acc: 0.9943
244/300 [=======================>......] - ETA: 29s - loss: 0.0211 - acc: 0.9943
245/300 [=======================>......] - ETA: 28s - loss: 0.0210 - acc: 0.9944
246/300 [=======================>......] - ETA: 28s - loss: 0.0210 - acc: 0.9944
247/300 [=======================>......] - ETA: 27s - loss: 0.0210 - acc: 0.9944
248/300 [=======================>......] - ETA: 27s - loss: 0.0209 - acc: 0.9944
249/300 [=======================>......] - ETA: 26s - loss: 0.0209 - acc: 0.9944
250/300 [========================>.....] - ETA: 26s - loss: 0.0209 - acc: 0.9944
251/300 [========================>.....] - ETA: 25s - loss: 0.0208 - acc: 0.9944
252/300 [========================>.....] - ETA: 25s - loss: 0.0208 - acc: 0.9944
253/300 [========================>.....] - ETA: 24s - loss: 0.0207 - acc: 0.9944
254/300 [========================>.....] - ETA: 24s - loss: 0.0207 - acc: 0.9944
